Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2007/4/13,468.45,468.77,463.36,466.29,5584000,0,1,234.950269,235.1107644,232.3973885,233.8669248,5584000
2007/4/16,468.4566,476.99,468.15,474.27,10145600,0,1,234.9535792,239.2334909,234.7998045,237.8692797,10145600
2007/4/17,473.8,476.39,471.6,472.8,6413700,0,1,237.633552,238.9325619,236.5301459,237.1320038,6413700
2007/4/18,471.26,479.9,469.53,476.01,11329600,0,1,236.3596195,240.6929962,235.4919411,238.7419736,11329600
2007/4/19,474.5,481.95,469.59,471.65,21997100,0,1,237.9846358,241.7211701,235.522034,236.5552233,21997100
2007/4/20,490.52,492.5,482.02,482.48,24298600,0,1,246.0194384,247.0125039,241.7562785,241.9869907,24298600
2007/4/23,480.1,485,478.26,479.08,11337800,0,1,240.7933059,243.2508922,239.8704571,240.2817267,11337800
2007/4/24,478.61,479.98,475.55,477.53,7382000,0,1,240.045999,240.7331201,238.5112614,239.5043269,7382000
2007/4/25,480,481.37,476.11,477.99,7925600,0,1,240.743151,241.4302721,238.7921284,239.7350391,7925600
2007/4/26,478.1,484.45,477.11,481.18,8241500,0,1,239.7902094,242.9750407,239.2936767,241.334978,8241500
2007/4/27,480.07,482.4,478.33,479.01,5845500,0,1,240.7782594,241.9468668,239.9055655,240.2466183,5845500
2007/4/30,479.15,481.35,471.38,471.38,7275100,0,1,240.316835,241.4202412,236.4198053,236.4198053,7275100
2007/5/1,472.19,472.81,464.17,469,7309000,0,1,236.8260594,237.1370193,232.8036425,235.2261205,7309000
2007/5/2,468.65,471.08,465.73,465.78,6119200,0,1,235.0505786,236.2693408,233.5860578,233.6111352,6119200
2007/5/3,466.22,474.07,465.29,473.23,7181200,0,1,233.8318164,237.76897,233.3653766,237.3476695,7181200
2007/5/4,470.12,474.84,465.88,471.12,7892100,0,1,235.7878545,238.1551622,233.66129,236.2894028,7892100
2007/5/7,472.14,472.82,466.47,467.27,6034100,0,1,236.8009819,237.1420347,233.9572035,234.3584421,6034100
2007/5/8,466.13,468.17,464.73,466.81,5804300,0,1,233.7866771,234.8098355,233.0845096,234.1277299,5804300
2007/5/9,466.15,471.73,463.88,469.25,7772000,0,1,233.796708,236.5953472,232.6581936,235.3515076,7772000
2007/5/10,467.04,469.49,461.02,461.47,7365200,0,1,234.243086,235.4718791,231.2237656,231.4494623,7365200
2007/5/11,461.83,467,461,466.74,5882300,0,1,231.6300197,234.223024,231.2137346,234.0926215,5882300
2007/5/14,465.48,467.51,460,461.78,7737600,0,1,233.4606707,234.4788136,230.7121864,231.6049423,7737600
2007/5/15,461.96,462.54,457.41,458,8229700,0,1,231.695221,231.9861189,229.4131765,229.70909,8229700
2007/5/16,462,473.14,459.02,472.61,13095200,0,1,231.7152829,237.3025302,230.2206692,237.0367096,13095200
2007/5/17,472.46,475.22,470.81,470.96,9311800,0,1,236.9614774,238.3457505,236.1339228,236.209155,9311800
2007/5/18,472.03,472.7,469.75,470.32,7384400,0,1,236.7458116,237.081849,235.6022817,235.8881642,7384400
2007/5/21,469.53,479.2,466.72,470.6,12306200,0,1,235.4919411,240.3419125,234.0825905,236.0285977,12306200
2007/5/22,473,479.01,473,475.86,7670300,0,1,237.2323134,240.2466183,237.2323134,238.6667414,7670300
2007/5/23,480.8206,483.4103,473.75,473.97,10110200,0,1,241.1547215,242.453581,237.6084746,237.7188152,10110200
2007/5/24,475.15,479.2,471.5,474.33,8338800,0,1,238.3106421,240.3419125,236.4799911,237.8993726,8338800
2007/5/25,479.7,484.95,477.27,483.52,10686300,0,1,240.5926866,243.2258148,239.3739244,242.5086008,10686300
2007/5/29,485,491.8,484,487.11,10425500,0,1,243.2508922,246.6614202,242.749344,244.309159,10425500
2007/5/30,484.5,498.84,483,498.6,14477100,0,1,243.0001181,250.1923197,242.2477957,250.0719481,14477100
2007/5/31,500.56,508.78,497.06,497.909,17830700,0,1,251.0549827,255.1777091,249.2995639,249.7253783,17830700
2007/6/1,501,505.02,497.93,500.397,9588400,0,1,251.2756639,253.2918878,249.7359108,250.9732303,9588400
2007/6/4,497.91,510.51,497.59,507.07,14187700,0,1,249.7258799,256.0453876,249.5653844,254.3200617,14187700
2007/6/5,509.75,519,506.61,518.84,20873300,0,1,255.6642109,260.3035321,254.0893495,260.2232843,20873300
2007/6/6,516.75,520.78,515.26,518.25,15757600,0,1,259.1750485,261.1962879,258.4277417,259.9273709,15757600
2007/6/7,519.75,526.5,512.51,515.06,21239700,0,1,260.6796932,264.0651438,257.048484,258.327432,21239700
2007/6/8,516.2,519.64,509.46,515.49,12703600,0,1,258.899197,260.6245229,255.5187619,258.5430978,12703600
2007/6/11,514.02,518.25,510,511.34,9286100,0,1,257.8058219,259.9273709,255.789598,256.4616726,9286100
2007/6/12,508.71,511.67,503.17,504.77,12826100,0,1,255.1426008,256.6271835,252.3640236,253.1665007,12826100
2007/6/13,507.0872,508.54,498.69,505.24,14053900,0,1,254.3286883,255.0573376,250.1170875,253.4022284,14053900
2007/6/14,505.38,505.88,501.7,502.84,9233100,0,1,253.4724452,253.7232193,251.6267477,252.1985126,9233100
2007/6/15,508.19,509,501.23,505.89,12335800,0,1,254.8817957,255.2880498,251.39102,253.7282348,12335800
2007/6/18,506.18,516,504.24,515.2,9662100,0,1,253.8736837,258.7988874,252.9006802,258.3976488,9662100
2007/6/19,514.01,517.25,511.54,514.31,8701800,0,1,257.8008064,259.4258227,256.5619823,257.9512709,8701800
2007/6/20,516.96,518.75,509.06,509.97,8667700,0,1,259.2803737,260.178145,255.3181426,255.7745515,8667700
2007/6/21,510.98,515.29,506.28,514.11,8810500,0,1,256.2811153,258.4427881,253.9238386,257.8509612,8810500
